epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.076,1.40839,1.75167,1.28388,0.84581,0.73335,0.83883,0.49842,1.51127,1.25517,1.20853,0.00332996,0.00332996,0.00332996
2,582.363,1.32735,1.16769,1.18096,0.81718,0.70259,0.80997,0.48957,1.50643,1.18679,1.18928,0.00659733,0.00659733,0.00659733
3,869.236,1.37446,1.12505,1.20098,0.81893,0.69582,0.79072,0.45933,1.51284,1.29481,1.20057,0.00979869,0.00979869,0.00979869
4,1154.2,1.38805,1.10794,1.21624,0.8296,0.70106,0.81022,0.48773,1.49266,1.13365,1.21032,0.009703,0.009703,0.009703
5,1432.7,1.36035,1.03103,1.2017,0.82698,0.69435,0.80776,0.50454,1.46889,1.12583,1.19217,0.009604,0.009604,0.009604
6,1706.96,1.33145,0.98787,1.18535,0.84789,0.72388,0.83368,0.5256,1.43138,1.03105,1.16047,0.009505,0.009505,0.009505
7,1967.52,1.30699,0.94431,1.17555,0.84092,0.71605,0.82862,0.51999,1.42671,1.04233,1.17484,0.009406,0.009406,0.009406
8,2227.17,1.28712,0.90768,1.16276,0.85312,0.76443,0.86211,0.54492,1.40601,0.99145,1.1631,0.009307,0.009307,0.009307
9,2485.11,1.269,0.88661,1.1575,0.86313,0.76031,0.86141,0.54378,1.41214,0.93988,1.15748,0.009208,0.009208,0.009208
10,2758.64,1.25779,0.86622,1.14992,0.86617,0.76973,0.87263,0.55884,1.37319,0.92335,1.1446,0.009109,0.009109,0.009109
11,3035.36,1.25766,0.85391,1.147,0.88858,0.76557,0.87951,0.56696,1.37086,0.90481,1.1293,0.00901,0.00901,0.00901
12,3312.76,1.24109,0.83873,1.14147,0.87258,0.77435,0.87955,0.56411,1.3579,0.91593,1.12959,0.008911,0.008911,0.008911
13,3600.76,1.23494,0.82547,1.13645,0.87385,0.77509,0.87823,0.56953,1.36092,0.90373,1.12775,0.008812,0.008812,0.008812
14,3894.83,1.21922,0.80971,1.12983,0.89109,0.77385,0.88307,0.57347,1.34251,0.88312,1.11651,0.008713,0.008713,0.008713
15,4171.62,1.20983,0.79294,1.11926,0.89183,0.78092,0.89053,0.581,1.33958,0.87219,1.12057,0.008614,0.008614,0.008614
16,4448.77,1.20987,0.79074,1.12505,0.89344,0.78513,0.88817,0.58293,1.33762,0.86963,1.1249,0.008515,0.008515,0.008515
17,4728.6,1.19632,0.77893,1.11749,0.89649,0.79181,0.90222,0.59591,1.30669,0.8334,1.11403,0.008416,0.008416,0.008416
18,5003.64,1.19281,0.76902,1.1144,0.89016,0.78271,0.88956,0.57302,1.36473,0.88073,1.11447,0.008317,0.008317,0.008317
19,5283.02,1.18521,0.75552,1.11044,0.90004,0.81135,0.90502,0.58735,1.35267,0.82532,1.1273,0.008218,0.008218,0.008218
20,5562.09,1.18048,0.74869,1.11468,0.90571,0.81744,0.91052,0.59597,1.31796,0.80142,1.12114,0.008119,0.008119,0.008119
21,5838.62,1.1685,0.74345,1.10702,0.89563,0.81873,0.90852,0.5965,1.31593,0.8076,1.11141,0.00802,0.00802,0.00802
22,6117.58,1.17819,0.74149,1.10534,0.90115,0.81184,0.90776,0.59497,1.33354,0.8003,1.11854,0.007921,0.007921,0.007921
23,6396.84,1.16721,0.7313,1.1045,0.88468,0.81546,0.90411,0.59495,1.32664,0.82038,1.11774,0.007822,0.007822,0.007822
24,6676.28,1.16452,0.72533,1.10191,0.90318,0.81035,0.90985,0.60358,1.30427,0.80463,1.1034,0.007723,0.007723,0.007723
25,6957.43,1.15906,0.71912,1.09901,0.8999,0.7968,0.90356,0.59823,1.30831,0.81117,1.10692,0.007624,0.007624,0.007624
