epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,536.186,1.3506,1.13425,1.2875,0.88388,0.81007,0.90451,0.56525,1.43328,0.82989,1.16392,0.00332996,0.00332996,0.00332996
2,1076.61,1.25669,0.82644,1.14234,0.84972,0.75118,0.85459,0.52705,1.49263,0.98045,1.17022,0.00659733,0.00659733,0.00659733
3,1612.93,1.31695,0.93172,1.16882,0.83171,0.68833,0.80336,0.49127,1.48675,1.16999,1.18867,0.00979869,0.00979869,0.00979869
4,2142.37,1.35012,0.9865,1.19723,0.85414,0.73145,0.83878,0.51491,1.4716,1.01215,1.20129,0.009703,0.009703,0.009703
5,2675.65,1.32177,0.93872,1.18803,0.86977,0.71981,0.84133,0.52475,1.45073,1.01314,1.18031,0.009604,0.009604,0.009604
6,3216.9,1.29154,0.89692,1.17024,0.87701,0.77062,0.87775,0.55811,1.3691,0.92039,1.14474,0.009505,0.009505,0.009505
7,3756.06,1.26831,0.85406,1.15608,0.87013,0.77886,0.87473,0.55084,1.43118,0.91741,1.16593,0.009406,0.009406,0.009406
8,4292.95,1.24328,0.8261,1.14326,0.88226,0.79653,0.89114,0.57199,1.37628,0.88523,1.1498,0.009307,0.009307,0.009307
9,4822.26,1.22866,0.80718,1.13642,0.88672,0.78828,0.88546,0.55893,1.41169,0.89,1.15423,0.009208,0.009208,0.009208
10,5360.23,1.21864,0.78449,1.12841,0.88717,0.79417,0.89773,0.58388,1.34368,0.85659,1.13762,0.009109,0.009109,0.009109
11,5899.16,1.2124,0.77658,1.12809,0.8883,0.80559,0.89761,0.58597,1.33722,0.83682,1.12877,0.00901,0.00901,0.00901
12,6432.39,1.19548,0.75404,1.12045,0.89838,0.81478,0.9077,0.59263,1.33742,0.80624,1.13141,0.008911,0.008911,0.008911
13,6963.72,1.19271,0.74203,1.11608,0.8951,0.80654,0.90333,0.58891,1.35662,0.80477,1.12987,0.008812,0.008812,0.008812
14,7497.62,1.17862,0.73089,1.11155,0.91277,0.81345,0.91525,0.59388,1.35966,0.7874,1.12921,0.008713,0.008713,0.008713
15,8031.43,1.16595,0.71802,1.10231,0.89952,0.82506,0.91874,0.59819,1.34636,0.78002,1.13367,0.008614,0.008614,0.008614
16,8561.25,1.16088,0.70856,1.10228,0.90908,0.82435,0.91727,0.60419,1.31394,0.77007,1.11189,0.008515,0.008515,0.008515
17,9091.66,1.14954,0.70118,1.09464,0.91415,0.83402,0.92345,0.61358,1.2873,0.76769,1.1019,0.008416,0.008416,0.008416
18,9624.13,1.13991,0.68818,1.09135,0.89169,0.8412,0.92229,0.60892,1.32887,0.7582,1.11394,0.008317,0.008317,0.008317
19,10154.9,1.13702,0.68038,1.08964,0.90145,0.83157,0.92039,0.60066,1.331,0.76452,1.11616,0.008218,0.008218,0.008218
20,10682.5,1.12681,0.67367,1.08611,0.90327,0.84415,0.93106,0.62117,1.29473,0.72465,1.10359,0.008119,0.008119,0.008119
21,11217.1,1.12088,0.66649,1.08335,0.8942,0.8412,0.92034,0.60365,1.34875,0.75085,1.12632,0.00802,0.00802,0.00802
22,11758.4,1.12635,0.66062,1.08082,0.90267,0.84776,0.92823,0.61078,1.33529,0.74255,1.11466,0.007921,0.007921,0.007921
23,12296,1.11433,0.65466,1.07938,0.9142,0.84718,0.93102,0.61602,1.3147,0.72292,1.11307,0.007822,0.007822,0.007822
